,0
255,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnpeace brothas please keep mind uploading 1540 exclusive video per month patreon site choose pledge order see video
256,make extremely valid point
257,scoring champion goal medal winner olympics great accomplishment nba champion player chance be ultimate goal every great player like stanley cup
258,led league scoring triangle system
259,he called jit
260,great point kobe even better gone college kobe phenomenal overall 0304 season
261,max
262,that shannon sharpe impersonationpriceless keep keepin real brother
263,humble articulate professional basketball player ever seenalong wilt bill russel saw prime like think mine fairly educated guess opinion second
264,im taking gsw tor win chip without kd cant win chip without kd klay get it kd would never respected ring attained golden state
265,drj averaged 248422 much better kobe 2555 kobe stats compared group probably weakest west 2767 big 2679 moses 2012 elgin baylor 27134 isiah 1949 havlicek 2165 come lower kobe career stat line way kobe shot ball average 2829 ppg career
266,well small man back back mvp
267,there red dot since then
268,lebron james 10th alltime great list dude damn overrated yup
269,i agree 90 tougher make seem like dude bench pressing sideline dude getting stretchered court driving lane
270,did anyone catch bio scottie dunked patrick ewing really hard lol
271,larger sample size make data reliable
272,steven azzwhole smith straight buck dancing sellout
273,hakeem olajuwon block nba history schooled shaq 95 final enough said
274,coj interesting indirectly saying lbj great able beat someone size offensive game great green great iggy getting credit better defensive player since slowing lbj down fact final mvp lbj later kd able too usually gifted offensive player still score someone great defensive skill even face best themselves
275,anthony davis robbery right now
276,prepped nba 82 game year alot getting hurt
277,perkins fuckin clown literally used kds name relevancy notoriety
278,that college team going 90 nba team back testament garbage league back then college team go 18 pro team today michael dominated watered league 90
279,dood funny hell man real
280,i heard motorcycle accident well
281,lakers work harder defense carry lebrons load he standing corner
282,final mvp never meant one best world
283,watching live like seeing snl skit
284,like great player great enough drag injury riddled team victory
285,hakeem magic beg differ lebron skilled big man history nba
286,well ad play season need another player play defense score likekyrie furthermore
287,team systemperiod obvious one talk day analytics statslike number 3 made eating cheetos watching friend example kidding
288,ferocious like comet
289,subbed 3 video ago
290,elite defender wing occasionally 4 position payton monster
291,catcher indian
292,on cool many 2 guard dropped 25 30 pt jordan think many any
293,seriously come back judah
294,she said ad named western conference player week first thing nigga said wa lebron amazing
295,i saying year bron using enhanced drug lady confirmed initial package receiving 3 year nba downplayed cause still face league truth come retires
296,one thing need consistent
297,why jordan beg barkley join wizard
298,that white guy sound like believe he saying
299,using motorcycle anything hurt player team invested in
300,sam bowie became walton 20 far injury go
301,gary paytonnmichael jordanndennis rodmannbill russellnben wallacenthis opinion time defensive player
302,russell westbrick lol
303,ok
304,it tie 1a 1b lebron superan between leshannon v nick wrightjames think
305,love judah video ive seen pure greatness kobe bryant biggest game 2000 final game 4and lebron im waiting screw doe
306,behind fall every great man normally woman big fact coj
307,the fact never dpy always blow mind
308,look painful watching slow motion
309,i think wan na sign mason contract sacrifice
310,defensive player
